UIK,UIK.NO,VOTERS,BULL.RECEIVED,BULL.ISS.PRELIMINARY,BULL.ISS.PRELIMINARY.TIK,BULL.ISS.UIK.DAYOFVOTE,BULL.ISS.EXTRA,BULL.CANCELLED,BULL.PORTABLE_BOXES,BULL.STATIONARY_BOXES,BULL.INVALID,BULL.VALID,BULL.LOST,BULL.NOT.RECORDED,TIK.NO,BIKBAEV,BIKBAEV.pct,IVANOVA,IVANOVA.pct,PETROV,PETROV.pct,POLTAVCHENKO,POLTAVCHENKO.pct,SUKHENKO,SUKHENKO.pct
"УИК №1005",1005,2030,1500,124,11,346,4,1037,4,468,7,465,0,0,25,7,0.0148,65,0.1377,17,0.036,353,0.7479,23,0.0487
"УИК №1006",1006,2003,1500,345,49,303,6,895,6,648,17,637,0,0,25,4,0.0061,51,0.078,16,0.0245,555,0.8486,11,0.0168
"УИК №1007",1007,1431,1010,263,55,242,3,557,3,505,23,485,0,0,25,4,0.0079,31,0.061,2,0.0039,436,0.8583,12,0.0236
"УИК №1008",1008,2035,1500,277,56,272,5,1002,5,549,15,539,0,0,25,9,0.0162,46,0.083,9,0.0162,456,0.8231,19,0.0343
"УИК №1009",1009,2044,1500,313,56,357,7,879,7,677,46,638,0,0,25,18,0.0263,63,0.0921,18,0.0263,503,0.7354,36,0.0526
"УИК №1010",1010,1980,1500,276,44,360,2,906,2,638,19,621,0,0,25,17,0.0266,56,0.0875,14,0.0219,510,0.7969,24,0.0375
"УИК №1011",1011,1241,1000,267,54,217,4,566,4,484,18,470,0,0,25,7,0.0143,39,0.0799,9,0.0184,402,0.8238,13,0.0266
"УИК №1012",1012,1417,1000,258,53,301,4,490,4,559,21,542,0,0,25,12,0.0213,36,0.0639,9,0.016,467,0.8295,18,0.032
"УИК №1013",1013,2063,1500,321,60,469,19,751,19,692,15,696,0,0,25,9,0.0127,81,0.1139,9,0.0127,572,0.8045,25,0.0352
"УИК №1014",1014,1988,1500,278,51,389,9,875,9,678,22,665,0,0,25,15,0.0218,71,0.1033,14,0.0204,539,0.7846,26,0.0378
"УИК №1015",1015,1815,1500,174,57,390,7,986,7,564,17,554,0,0,25,11,0.0193,49,0.0858,13,0.0228,464,0.8126,17,0.0298
"УИК №1016",1016,1999,1500,177,53,359,7,1010,7,536,22,521,0,0,25,5,0.0092,50,0.0921,4,0.0074,451,0.8306,11,0.0203
"УИК №1017",1017,1473,1030,169,60,293,5,623,5,462,6,461,0,0,25,17,0.0364,52,0.1113,12,0.0257,373,0.7987,7,0.015
"УИК №1018",1018,2276,2000,190,51,401,9,1451,9,591,20,580,0,0,25,11,0.0183,77,0.1283,16,0.0267,453,0.755,23,0.0383
"УИК №1019",1019,2007,1500,365,61,457,7,732,7,854,16,845,0,0,25,9,0.0105,49,0.0569,11,0.0128,709,0.8235,67,0.0778
"УИК №1020",1020,2199,2000,412,52,468,28,1144,28,828,24,832,0,0,25,14,0.0164,83,0.097,20,0.0234,688,0.8037,27,0.0315
"УИК №1021",1021,2202,2000,223,57,396,4,1434,4,618,28,594,0,0,25,13,0.0209,72,0.1158,18,0.0289,464,0.746,27,0.0434
"УИК №1022",1022,2136,2000,408,58,448,52,1150,52,798,0,850,0,0,25,13,0.0153,73,0.0859,11,0.0129,730,0.8588,23,0.0271
"УИК №1023",1023,2092,1500,318,62,708,16,520,16,708,23,701,0,0,25,14,0.0193,85,0.1174,16,0.0221,560,0.7735,26,0.0359
"УИК №1024",1024,2071,1500,270,47,382,10,885,10,652,31,631,0,0,25,12,0.0181,62,0.0937,12,0.0181,523,0.79,22,0.0332
"УИК №1025",1025,2036,1500,263,59,286,6,1004,6,563,16,553,0,0,25,10,0.0176,55,0.0967,11,0.0193,463,0.8137,14,0.0246
"УИК №1026",1026,2281,2000,261,56,409,9,1377,9,670,12,667,0,0,25,16,0.0236,92,0.1355,14,0.0206,521,0.7673,24,0.0353
"УИК №1027",1027,2139,1500,184,64,389,11,980,11,526,22,515,0,0,25,12,0.0223,60,0.1117,8,0.0149,412,0.7672,23,0.0428
"УИК №1028",1028,1475,1010,128,49,240,9,682,9,368,15,362,0,0,25,10,0.0265,46,0.122,4,0.0106,288,0.7639,14,0.0371
"УИК №1029",1029,1564,1100,117,58,210,2,829,2,327,21,308,0,0,25,4,0.0122,32,0.0973,6,0.0182,258,0.7842,8,0.0243
"УИК №1030",1030,2099,1500,291,49,425,7,826,7,667,28,646,0,0,25,7,0.0104,45,0.0668,14,0.0208,555,0.8234,25,0.0371
"УИК №1031",1031,2125,1500,248,58,330,6,974,6,578,23,561,0,0,25,9,0.0154,58,0.0993,8,0.0137,467,0.7997,19,0.0325
"УИК №1032",1032,2316,2000,256,56,446,10,1344,10,700,13,697,0,0,25,11,0.0155,71,0.1,11,0.0155,585,0.8239,19,0.0268
"УИК №1033",1033,2463,2000,184,64,395,4,1481,4,576,26,554,0,0,25,18,0.031,83,0.1431,14,0.0241,421,0.7259,18,0.031
"УИК №1034",1034,2155,1500,191,55,374,9,981,9,564,32,541,0,0,25,12,0.0209,57,0.0995,14,0.0244,435,0.7592,23,0.0401
"УИК №1035",1035,2246,2000,282,62,397,2,1381,2,681,20,663,0,0,25,12,0.0176,73,0.1069,18,0.0264,538,0.7877,22,0.0322
"УИК №1036",1036,2003,1500,282,56,390,5,879,5,672,17,660,0,0,25,9,0.0133,53,0.0783,8,0.0118,584,0.8626,6,0.0089
"УИК №1037",1037,1820,1500,235,60,216,1,1108,1,451,17,435,0,0,25,6,0.0133,40,0.0885,7,0.0155,374,0.8274,8,0.0177
"УИК №1038",1038,2070,1500,305,55,509,4,737,4,610,19,595,0,0,25,5,0.0081,72,0.1173,13,0.0212,495,0.8062,10,0.0163
"УИК №1039",1039,2024,1500,280,66,364,2,920,2,644,22,624,0,0,25,14,0.0217,66,0.1022,16,0.0248,507,0.7848,21,0.0325
"УИК №1040",1040,1292,1000,221,50,259,4,566,4,480,12,472,0,0,25,12,0.0248,30,0.062,5,0.0103,410,0.8471,15,0.031
"УИК №1041",1041,2602,2000,308,58,438,8,1304,8,746,24,730,0,0,25,15,0.0199,81,0.1074,18,0.0239,587,0.7785,29,0.0385
"УИК №1042",1042,2165,1500,191,58,393,3,971,3,584,21,566,0,0,25,12,0.0204,66,0.1124,17,0.029,449,0.7649,22,0.0375
"УИК №1043",1043,1288,1000,139,68,181,3,745,3,317,9,311,0,0,25,9,0.0281,26,0.0813,4,0.0125,267,0.8344,5,0.0156
"УИК №1044",1044,1594,1500,137,51,251,14,1149,14,388,24,378,0,0,25,9,0.0224,45,0.1119,9,0.0224,302,0.7512,13,0.0323
"УИК №1045",1045,1720,1500,139,58,283,11,1125,11,422,16,417,0,0,25,9,0.0208,52,0.1201,8,0.0185,337,0.7783,11,0.0254
"УИК №1046",1046,2045,1500,248,55,349,18,940,18,597,15,600,0,0,25,12,0.0195,63,0.1024,15,0.0244,492,0.8,18,0.0293
"УИК №1047",1047,574,500,87,56,97,20,352,20,183,7,196,0,0,25,6,0.0296,18,0.0887,1,0.0049,165,0.8128,6,0.0296
"УИК №1145",1145,2031,1500,118,32,323,8,1083,8,441,18,431,0,0,26,17,0.0379,52,0.1158,11,0.0245,331,0.7372,20,0.0445
"УИК №1146",1146,1921,1500,53,20,298,6,1163,6,349,15,340,0,0,26,10,0.0282,58,0.1634,12,0.0338,242,0.6817,18,0.0507
"УИК №1147",1147,2073,1500,130,25,406,3,986,3,536,32,507,0,0,26,14,0.026,65,0.1206,17,0.0315,386,0.7161,25,0.0464
"УИК №1148",1148,2109,1500,146,19,305,4,1064,4,449,25,428,0,0,26,12,0.0265,68,0.1501,9,0.0199,317,0.6998,22,0.0486
"УИК №1149",1149,2385,1700,112,21,352,11,1246,11,462,15,458,0,0,26,2,0.0042,81,0.1712,8,0.0169,357,0.7548,10,0.0211
"УИК №1150",1150,2436,1710,122,14,344,12,1246,12,463,20,455,0,0,26,7,0.0147,73,0.1537,9,0.0189,352,0.7411,14,0.0295
"УИК №1151",1151,2403,1700,141,23,389,21,1172,21,530,19,532,0,0,26,14,0.0254,63,0.1143,14,0.0254,411,0.7459,30,0.0544
"УИК №1152",1152,2191,1550,124,23,351,7,1091,7,475,24,458,0,0,26,9,0.0187,59,0.1224,17,0.0353,363,0.7531,10,0.0207
"УИК №1153",1153,2440,1720,123,24,419,18,1184,18,538,22,534,0,0,26,10,0.018,81,0.1457,18,0.0324,402,0.723,23,0.0414
"УИК №1154",1154,2020,1500,108,32,408,8,1008,8,515,20,503,0,0,26,13,0.0249,67,0.1281,15,0.0287,394,0.7533,14,0.0268
